Program,Year,Period,State,State ANSI,Data Item,Value
SURVEY,2019,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",1.8
SURVEY,2019,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",3.1
SURVEY,2019,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",0.3
SURVEY,2019,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",22.7
SURVEY,2019,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",9
SURVEY,2019,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",27.2
SURVEY,2018,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",1.9
SURVEY,2018,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",8.6
SURVEY,2018,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",14.9
SURVEY,2018,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",30.2
SURVEY,2018,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",4.5
SURVEY,2018,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",29.2
SURVEY,2018,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",1.3
SURVEY,2018,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",9.4
SURVEY,2018,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",14.4
SURVEY,2018,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",27.3
SURVEY,2018,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",2.1
SURVEY,2018,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",25.2
SURVEY,2018,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",0.7
SURVEY,2018,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",7.8
SURVEY,2018,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",14.6
SURVEY,2018,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",69.4
SURVEY,2018,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",6.8
SURVEY,2018,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",77.5
SURVEY,2018,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",1.3
SURVEY,2018,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",3.4
